Water System No.,Water System Name,Regulating Agency,County,Total Number of Service Connections,AC Name,AC Email,AC Phone,Arrearage Application,Aggregated Application,Aggregated PWSIDs,Residential Arrearage Accounts,New Residential Arrearage Accounts,Residential Arrearage Amount,New Residential Arrearage Amount,CommercialArrearage Accounts,New Commercial Arrearage Accounts,Commercial Arrearage Amount,New Commercial Arrearage Amount,Total Reported Arrearages,Administrative Costs,Total Max Allotment,Total Funding Request,Mailing Address Street 1,Mailing Address Street 2,"City, State, Zip",Completed on,Uploaded Files
4010026,NIPOMO COMM SERVICES DIST,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,4464,PETER SEVCIK,psevcik@ncsd.ca.gov,805-929-1133,Application Summary,No,N/A,275,275,191761.50,191761.50,0,0,0.00,0.00,191761.50,5752.85,197514.35,197514.35,PO Box 326,,"NIPOMO, CA 93444",10-18-2021,1052_CA4010026_439642_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4010026_439642_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4010026_439642_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4010026_439642_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4010026_439642_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4210001,CARPINTERIA VALLEY WATER DISTRICT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,4399,ROBERT MCDONALD,bob@cvwd.net,805-684-2816,Application Summary,No,N/A,30,30,22334.00,25792.8,1,1,201.74,336.74,26129.54,783.89,26913.43,26913.43,1301 Santa Ynez Avenue,,"CARPINTERIA, CA 93013",10-11-2021,1052_CA4210001_439211_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4210001_439211_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4210001_439211_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4210001_439211_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4210001_439211_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3010094,TRABUCO CANYON WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,4175,FERNANDO PALUDI,fpaludi@tcwd.ca.gov,949-858-0277,Application Summary,No,N/A,171,114,60702.40,39095.47,4,2,1323.26,626.13,39721.60,1191.65,40913.25,40913.25,32003 Dove Canyon Drive,,"TRABUCO CANYON, CA 92679",11-01-2021,1052_CA3010094_439806_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3010094_439806_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3010094_439806_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3010094_439806_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3010094_439806_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4110017,MENLO PARK MUNICIPAL WATER,DISTRICT 17 - SANTA CLARA,SAN MATEO,4099,PAM LOWE,phlowe@menlopark.org,650-330-6745,Application Summary,No,N/A,213,201,152931.00,159412.64,16,15,71352.00,46931.18,206343.82,6190.31,212534.13,212534.13,701 Laurel Street,,"MENLO PARK, CA 94025",11-11-2021,1052_CA4110017_439426_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4110017_439426_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4110017_439426_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4110017_439426_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4110017_439426_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
2010001,CHOWCHILLA CITY WATER DEPT,DISTRICT 11 - MERCED,MADERA,4053,JASON ROGERS,jrogers@cityofchowchilla.org,559-665-8615,Application Summary,No,N/A,550,545,129321.80,120228.14,15,12,3422.64,3082.81,123310.95,3699.33,127010.28,127010.28,130 S. Second Street,,"CHOWCHILLA, CA 93610",10-19-2021,1052_CA2010001_439295_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA2010001_439295_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA2010001_439295_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA2010001_439295_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA2010001_439295_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
0910013,GEORGETOWN DIVIDE PUD,DISTRICT 09 - SACRAMENTO,EL DORADO,3733,JEFF NELSON,GM@GD-PUD.ORG,530-333-4356,Application Summary,No,N/A,79,79,41128.90,41128.90,0,0,0.00,0,41128.90,1233.87,42362.77,42362.77,P.O. BOX 4240,,"GEORGETOWN, CA 95634",10-15-2021,1052_CA0910013_439610_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA0910013_439610_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA0910013_439610_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA0910013_439610_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA0910013_439610_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3310003,BLYTHE - CITY OF,DISTRICT 20 - RIVERSIDE,RIVERSIDE,3446,MALLORY CRECILIUS,msutterfield@cityofblythe.ca.gov,760-922-6161,Application Summary,Yes,CA3301428; CA3301630; CA3310003;,169,29,20280.92,7193.00,9,3,4126.95,591.33,7784.33,233.53,8017.86,8017.86,235 N. BROADWARY,,"BLYTHE, CA 92225",11-15-2021,1052_CA3310003_440121_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310003_440121_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310003_440121_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310003_440121_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3310003_440121_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1610004,"CORCORAN, CITY OF",DISTRICT 12 - VISALIA,KINGS,3442,JOE FAULKNER,joe.faulkner@cityofcorcoran.com,559-992-4791,Application Summary,No,N/A,459,263,109288.14,107682.49,9,7,5316.73,5686.21,113368.70,3401.06,116769.76,116769.76,832 WHITLEY,,"CORCORAN, CA 93212",10-26-2021,1052_CA1610004_439655_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1610004_439655_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1610004_439655_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1610004_439655_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1610004_439655_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4710011,"YREKA, CITY OF",DISTRICT 01 - KLAMATH,SISKIYOU,3268,ROB TAYLOR,RTAYLOR@CI.YREKA.CA.US,530-841-2327,Application Summary,No,N/A,40,52,15508.00,28665.85,0,1,0.00,1555.99,30221.84,906.66,31128.50,31128.5,856 N. MAIN STREET,,"YREKA, CA 96097",10-29-2021,1052_CA4710011_439297_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4710011_439297_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4710011_439297_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4710011_439297_32056_CommunityWaterS__TaxFormUpload_1.pdf
4910002,"CLOVERDALE, CITY OF",DISTRICT 18 - SONOMA,SONOMA,3266,DAVID KELLEY,dkelley@ci.cloverdale.ca.us,707-894-1723,Application Summary,No,N/A,111,111,39791.51,39791.51,10,10,2338.70,2338.70,42130.21,1263.91,43394.12,43394.12,124 North Cloverdale Boulevard,,"CLOVERDALE, CA 95425",10-28-2021,1052_CA4910002_439851_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4910002_439851_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4910002_439851_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4910002_439851_32056_CommunityWaterS__TaxFormUpload_1.pdf
0410011,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,3198,ROBERT FORTINO,corp.ceo@corporatecenter.us,530-809-3958,Application Summary,Yes,CA0400091; CA0405001; CA0410009; CA0410011; CA0410018; CA0605011; CA1000057; CA1100404; CA1200671; CA1210007; CA1500314; CA4500022; CA4510015; CA5200574; CA5400553; CA5400665; CA5400666; CA5400767; CA5402048; CA5410034; CA5510007,273,181,69235.23,54334.67,5,2,2022.99,226.70,54561.37,1636.84,56198.21,56198.21,DRAWER 5172,,"CHICO, CA 95927",10-28-2021,1052_CA0410011_439833_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA0410011_439833_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA0410011_439833_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA0410011_439833_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA0410011_439833_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1510012,LAMONT PUBLIC UTILITY DIST,DISTRICT 12 - VISALIA,KERN,3151,SCOTT TAYLOR,staylor@lpud.org,661-845-1213,Application Summary,No,N/A,161,162,19688.79,28390.51,21,21,3047.37,4372.47,32762.98,982.89,33745.87,33745.87,8624 SEGRUE ROAD,,"LAMONT, CA 93241",11-12-2021,1052_CA1510012_439231_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1510012_439231_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1510012_439231_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1510012_439231_32056_CommunityWaterS__TaxFormUpload_1.pdf
5410006,"LINDSAY, CITY OF",DISTRICT 24 - TULARE,TULARE,3090,NEYBA AMEZCUA,namezcua@lindsay.ca.us,559-562-7102,Application Summary,No,N/A,119,149,35356.61,36109.62,62,8,4560.99,2379.05,38488.67,1154.66,39643.33,39643.33,P.O. BOX 369,,"LINDSAY, CA 93247",10-15-2021,1052_CA5410006_439308_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5410006_439308_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5410006_439308_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5410006_439308_32056_CommunityWaterS__TaxFormUpload_1.pdf
3610062,RUNNING SPRINGS WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,3014,RYAN GROSS,rgross@runningspringswd.com,909-867-2766,Application Summary,No,N/A,111,84,49896.94,15802.50,0,2,0.00,297.75,16100.25,483.01,16583.26,16583.26,P.O. BOX 2206,,"RUNNING SPRINGS, CA 92382",10-06-2021,1052_CA3610062_439280_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610062_439280_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610062_439280_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610062_439280_32056_CommunityWaterS__TaxFormUpload_1.pdf
3310017,SOUTH MESA WC,DISTRICT 20 - RIVERSIDE,RIVERSIDE,2978,DAVID ARMSTRONG,darmstrong@southmesawater.com,909-795-2401,Application Summary,No,N/A,21,18,16250.95,18094.98,1,1,675.70,694.91,18789.89,563.70,19353.59,19353.59,P.O. BOX 458,,"CALIMESA, CA 92320",11-15-2021,1052_CA3310017_440146_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310017_440146_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310017_440146_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310017_440146_32056_CommunityWaterS__TaxFormUpload_1.pdf
1510045,GOLDEN HILLS CSD,DISTRICT 19 - TEHACHAPI,KERN,2921,SUSAN WELLS,gm@ghcsd.com,661-822-3064,Application Summary,No,N/A,49,49,3961.06,3961.06,2,2,145.02,145.02,4106.08,123.18,4229.26,4229.26,PO BOX 637,,"TEHACHAPI, CA 93581",10-07-2021,1052_CA1510045_439359_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1510045_439359_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1510045_439359_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1510045_439359_32056_CommunityWaterS__TaxFormUpload_1.pdf
3310036,WESTERN MWD - MURRIETA DIVISION,DISTRICT 20 - RIVERSIDE,RIVERSIDE,2828,PAUL RUGGE,PRugge@wmwd.com,951-789-5155,Application Summary,Yes,CA3310049; CA3310036; CA3310076,932,746,700265.00,643726.07,8,0,10464.00,0,643726.07,19311.78,663037.85,663037.85,16451 El Sobrante Rd.,,"RIVERSIDE, CA 92503",10-27-2021,1052_CA3310036_439445_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310036_439445_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310036_439445_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310036_439445_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3310036_439445_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
5410004,"FARMERSVILLE, CITY OF",DISTRICT 24 - TULARE,TULARE,2736,JEFF DOWLEN,dpw@cityoffarmersville-ca.gov,559-747-3330,Application Summary,No,N/A,240,151,35307.37,25317.97,8,6,989.50,922.10,26240.07,787.20,27027.27,27027.27,909 WEST VISALIA ROAD,,"FARMERSVILLE, CA 93223",11-02-2021,1052_CA5410004_439875_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5410004_439875_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5410004_439875_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5410004_439875_32056_CommunityWaterS__TaxFormUpload_1.pdf
4910016,"COTATI, CITY OF",DISTRICT 18 - SONOMA,SONOMA,2669,CRAIG SCOTT,cscott@cotaticity.org,707-665-3620,Application Summary,No,N/A,363,363,44138.22,44138.22,39,39,57500.17,57500.17,101638.39,3049.15,104687.54,104687.54,201 West Sierra Avenue,,"COTATI, CA 94931",10-13-2021,1052_CA4910016_439461_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4910016_439461_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4910016_439461_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4910016_439461_32056_CommunityWaterS__TaxFormUpload_1.pdf
1010001,BAKMAN WATER COMPANY,DISTRICT 12 - VISALIA,FRESNO,2608,SHAYMUS BAKMAN,shay@bakmanwater.com,559-255-0324,Application Summary,No,N/A,187,187,61889.75,61889.75,9,9,4299.06,4299.06,66188.81,1985.66,68174.47,68174.47,P.O. BOX 8271,,"FRESNO, CA 93747",10-15-2021,1052_CA1010001_439555_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1010001_439555_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1010001_439555_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1010001_439555_32056_CommunityWaterS__TaxFormUpload_1.pdf
4210020,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,2600,ERIC TAMBINI,etambini@syrwd.org,805-688-6015,Application Summary,No,N/A,7,14,6535.31,14709.62,0,0,0.00,0,14709.62,441.29,15150.91,15150.91,PO Box 157,,"SANTA YNEZ, CA 93460",11-12-2021,1052_CA4210020_439723_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4210020_439723_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4210020_439723_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4210020_439723_32056_CommunityWaterS__TaxFormUpload_1.pdf
4210017,VANDENBERG VILLAGE COMM. SERV. DIST.,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,2585,JOSEPH BARGET,jbarget@vvcsd.org,805-733-3417,Application Summary,No,N/A,86,35,11900.00,8380.00,0,0,0.00,0,8380.00,251.40,8631.40,8631.4,3745 Constellation Road,,"LOMPOC, CA 93436",10-06-2021,1052_CA4210017_439217_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4210017_439217_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4210017_439217_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4210017_439217_32056_CommunityWaterS__TaxFormUpload_1.pdf
4910004,SWEETWATER SPRINGS CWD - GUERNEVILLE,DISTRICT 18 - SONOMA,SONOMA,2565,ED FORTNER,efortner@sweetwatersprings.com,707-869-4000,Application Summary,No,N/A,19,14,8670.96,6835.88,0,0,0.00,0,6835.88,205.08,7040.96,7040.96,P.O. Box 48,,"GUERNEVILLE, CA 95446",10-18-2021,1052_CA4910004_439652_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4910004_439652_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4910004_439652_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4910004_439652_32056_CommunityWaterS__TaxFormUpload_1.pdf
3310051,MYOMA DUNES MUTUAL WATER COMPANY,DISTRICT 20 - RIVERSIDE,RIVERSIDE,2551,MICHELE DONZE,michele@myomawater.com,760-772-1967,Application Summary,No,N/A,107,107,49763.68,49763.68,0,0,0.00,0,49763.68,1492.91,51256.59,51256.59,79-050 Avenue 42,,"BERMUDA DUNES, CA 92203",11-12-2021,1052_CA3310051_439914_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310051_439914_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310051_439914_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310051_439914_32056_CommunityWaterS__TaxFormUpload_1.pdf
1910153,SOUTH MONTEBELLO IRRIGATION DIST.,DISTRICT 22 - ANGELES,LOS ANGELES,2374,ALBERTO CORRALES,a.corrales@pacbell.net,323-721-4735,Application Summary,No,N/A,110,110,29600.02,29600.02,23,23,5084.00,5084,34684.02,1040.52,35724.54,35724.54,437 BLUFF ROAD,,"MONTEBELLO, CA 90640",11-09-2021,1052_CA1910153_439711_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910153_439711_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910153_439711_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910153_439711_32056_CommunityWaterS__TaxFormUpload_1.pdf
4210003,GUADALUPE WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,2366,SHANNON SWEENEY,ssweeney@ci.guadalupe.ca.us,805-356-3910,Application Summary,No,N/A,65,53,41111.21,31229.52,0,0,0.00,0,31229.52,936.89,32166.41,32166.41,918 Obispo Street,,"GUADALUPE, CA 93434",10-11-2021,1052_CA4210003_439350_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4210003_439350_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4210003_439350_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4210003_439350_32056_CommunityWaterS__TaxFormUpload_1.pdf
0410004,CITY OF GRIDLEY,DISTRICT 21 - VALLEY,BUTTE,2264,JERRY COX,jcox@gridley.ca.us,530-846-2298,Application Summary,No,N/A,521,521,56861.94,56861.94,43,43,8863.96,8863.96,65725.90,1971.78,67697.68,67697.68,685 KENTUCKY STREET,,"GRIDLEY, CA 95948",10-07-2021,1052_CA0410004_439409_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA0410004_439409_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA0410004_439409_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA0410004_439409_32056_CommunityWaterS__TaxFormUpload_1.pdf
0610002,CITY OF COLUSA,DISTRICT 21 - VALLEY,COLUSA,2205,JESSE CAIN,citymanager@cityofcolusa.com,530-458-4941,Application Summary,No,N/A,178,48,31065.65,20992,13,2,2012.40,180.00,21172.00,635.16,21807.16,21807.16,425 Webster St.,,"COLUSA, CA 95932",10-05-2021,1052_CA0610002_439195_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA0610002_439195_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA0610002_439195_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA0610002_439195_32056_CommunityWaterS__TaxFormUpload_1.pdf
5610022,VENTURA RIVER WATER DISTRICT,DISTRICT 06 - SANTA BARBARA,VENTURA,2166,BERT RAPP,Bert@VenturaRiverWD.com,805-646-3403,Application Summary,No,N/A,81,81,19935.94,19935.94,0,0,0.00,0,19935.94,598.08,20534.02,20534.02,409 Old Baldwin Road,,"OJAI, CA 93023",10-08-2021,1052_CA5610022_439310_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5610022_439310_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5610022_439310_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5610022_439310_32056_CommunityWaterS__TaxFormUpload_1.pdf
5010006,CITY OF WATERFORD,DISTRICT 10 - STOCKTON,STANISLAUS,2065,MICHEAL PITCOCK,mpitcock@cityofwaterford.org,209-874-2328,Application Summary,No,N/A,258,221,100588.00,62903.58,3,3,999.02,666.37,63569.95,1907.10,65477.05,65477.05,101 E Street,,"WATERFORD, CA 95386",10-28-2021,1052_CA5010006_439294_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5010006_439294_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5010006_439294_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5010006_439294_32056_CommunityWaterS__TaxFormUpload_1.pdf
3710036,BORREGO WD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,2033,GEOFF POOLE,geoff@borregowd.org,760-767-5806,Application Summary,No,N/A,159,159,99419.40,99419.40,159,1,170.19,179.22,99598.62,2987.96,102586.58,102586.57,PO BOX 1870,,"BORREGO SPRINGS, CA 92004",10-20-2021,1052_CA3710036_439515_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710036_439515_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710036_439515_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710036_439515_32056_CommunityWaterS__TaxFormUpload_1.pdf
3110003,FORESTHILL PUBLIC UTILITY DIST,DISTRICT 02 - LASSEN,PLACER,2032,HENRY WHITE,gm@foresthillpud.com,530-367-2511,Application Summary,No,N/A,63,62,42776.99,29018.06,8,9,28283.42,31184.23,60202.29,1806.07,62008.36,62008.36,PO Box 266,,"FORESTHILL, CA 95631",10-05-2021,1052_CA3110003_439235_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3110003_439235_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3110003_439235_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3110003_439235_32056_CommunityWaterS__TaxFormUpload_1.pdf
1910218,LA HABRA HEIGHTS CWD,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,2006,MICHAEL GUALTIERI,MIKE@LHHCWD.COM,562-697-6769,Application Summary,No,N/A,13,13,6365.13,6365.13,0,0,0.00,0,6365.13,190.95,6556.08,6556.08,1271 N. HACIENDA RD.,,"LA HABRA HEIGHTS, CA 90631",10-08-2021,1052_CA1910218_439431_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910218_439431_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910218_439431_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910218_439431_32056_CommunityWaterS__TaxFormUpload_1.pdf
2710007,"GONZALES, CITY OF",DISTRICT 05 - MONTEREY,MONTEREY,1955,TIFFANY TWISSELMANN,TTwisselmann@ci.gonzales.ca.us,831-776-2095,Application Summary,No,N/A,219,133,23149.33,18092.08,11,12,1491.52,2916.37,21008.45,630.25,21638.70,21638.7,PO Box 647,,"GONZALES, CA 93926",10-27-2021,1052_CA2710007_439647_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA2710007_439647_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA2710007_439647_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA2710007_439647_32056_CommunityWaterS__TaxFormUpload_1.pdf
2410003,CITY OF GUSTINE,DISTRICT 11 - MERCED,MERCED,1913,DAN ARNOLD,PWDirector@cityofgustine.com,209-854-6183,Application Summary,No,N/A,415,411,38385.14,37622.33,19,6,651.38,722.07,38344.40,1150.33,39494.73,39494.73,P.O. Box 16,,"GUSTINE, CA 95322",10-06-2021,1052_CA2410003_439227_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA2410003_439227_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA2410003_439227_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA2410003_439227_32056_CommunityWaterS__TaxFormUpload_1.pdf
1710001,CLEARLAKE OAKS COUNTY WATER DISTRICT,DISTRICT 03 - MENDOCINO,LAKE,1841,DIANNA MANN,d.mann@clocwd.org,707-998-3322,Application Summary,No,N/A,144,144,146160.25,146160.25,7,7,5382.14,5895.65,152055.90,4561.68,156617.58,156617.58,P.O. Box 709,,"CLEARLAKE OAKS, CA 95423",10-22-2021,1052_CA1710001_439255_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1710001_439255_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1710001_439255_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1710001_439255_32056_CommunityWaterS__TaxFormUpload_1.pdf
4210018,BUELLTON WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,1831,ROSE HESS,roseh@cityofbuellton.com,805-686-0137,Application Summary,No,N/A,23,23,10391.38,4297.50,2,3,661.58,6908.47,11205.97,336.18,11542.15,11542.15,PO Box 1819,,"BUELLTON, CA 93427",10-20-2021,1052_CA4210018_439338_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4210018_439338_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4210018_439338_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4210018_439338_32056_CommunityWaterS__TaxFormUpload_1.pdf
1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,DISTRICT 16 - CENTRAL,LOS ANGELES,1826,LEN GORECKI,lgorecki@bellflower.org,562-804-1424,Application Summary,No,N/A,177,177,70784.82,70784.82,0,0,0.00,0,70784.82,2123.54,72908.36,72908.36,16600 Civic Center Drive,,"BELLFLOWER, CA 90706",10-28-2021,1052_CA1910018_439508_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910018_439508_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910018_439508_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910018_439508_32056_CommunityWaterS__TaxFormUpload_1.pdf
